EVTNAME913000;Latinoi Privileges;Un vent d'occidentalisation;Winde der Verwestlichung;;;;;;;;;;;
913015.B;Shut it down and confiscate the contraband.;;;;;;;;;;;;;
EVTNAME913016;Smugglers Sell Opium;;;;;;;;;;;;;
EVTDESC913016;In what should come as no surprise, the Latinoi smuggling ring in one of our provinces has been caught red-handed selling opium to the locals.;;;;;;;;;;;;;
913016.A;Shut down the ring immediately.;;;;;;;;;;;;;
913016.B;Do whatever it takes to eliminate this menace.;;;;;;;;;;;;;
EVTNAME913020;Latinoi Missionaries;;;;;;;;;;;;;
EVTDESC913020;An old pond\nA frog jumps in �\nThe sound of water.'\n\n-- Matsuo Basho\n\nOne of our coastal provinces is bustling with rumors about the strange people who were found along its shorelines earlier this morning. The more precise origin of these shipwrecked sailors is as of yet uncertain, but, wherever they are from, they are definitely not $COUNTRY_ADJ$.;;Ein alter Teich\nEin Frosch spring hinein �\nDer Klang von Wasser.'\n\n-- Matsuo Basho\n\n$PROVINCENAME$ ist voller Ger�chte �ber die seltsamen Menschen, die heute Morgen am Gestade gefunden wurden. Die genaue Herkunft dieser schiffbr�chigen Matrosen ist noch unklar, aber woher sie auch stammen m�gen, sie sind definitiv nicht $COUNTRY_ADJ$.;;;;;;;;;;;
913020.A;Ignore them.;;;;;;;;;;;;;
913020.B;Round them up and execute them.;;;;;;;;;;;;;
EVTNAME913021;Missionaries Executed in $FROMCOUNTRY$;;;;;;;;;;;;;
EVTDESC913021;We have received reports that a number of our missionaries have been executed in $FROMCOUNTRY$, part of a $FROMCOUNTRY_ADJ$ action to round up all unwanted foreigners. The missionaries were peaceful, and the $COUNTRY_ADJ$ public is understandably enraged. Many believe that war is necessary, while others believe the potential for war with $FROMCOUNTRY$ simply isn't worth it. The missionaries knew they were not permitted in $FROMCOUNTRY$, after all.;;;;;;;;;;;;;
913021.A;This cannot be permitted.;;;;;;;;;;;;;
913021.B;There is nothing we can do.;;;;;;;;;;;;;
EVTNAME913030;Latinoi Approaches;;;;;;;;;;;;;
EVTDESC913030;News reaches us that an expatriate community of foreigners, from various Latinoioi countries and Great Powers, has formed in one of our cities. Doubtlessly, this is a direct effect of our government's policy of open ports and borders. This influx might be positive, as our government seems to believe, however some voices have less kind things to say about the foreigners.;;;;;;;;;;;;;
913030.A;They are welcome to stay.;;;;;;;;;;;;;
913030.B;Send them home.;;;;;;;;;;;;;
EVTNAME913031;Grievous Insults!;;;;;;;;;;;;;
EVTDESC913031;A group of $COUNTRY_ADJ$ citizens who left $COUNTRY$ some time ago on an expedition to $FROMCOUNTRY$ has been viciously refused entry to the country. It appears that the $FROMCOUNTRY_ADJ$ government has turned gradually to a policy of increasing isolationism, most likely in order to avoid the pains of modernizing their political, economical and social institutions. This policy of the $FROMCOUNTRY_ADJ$ government is, obviously, impairing the advances of $COUNTRY_ADJ$ trade, diplomacy and missionary activities in the region, and must be considered an unjust restriction of the international freedom of movement.;;;;;;;;;;;;;
913031.A;Force of arms must be considered.;;;;;;;;;;;;;
913031.B;We must respect and tolerate the differences between our respective cultures.;;;;;;;;;;;;;
EVTNAME913040;Latinoi Trading Post?;Comptoir �tranger ?;Ausl�ndischer Handelsposten?;;;;;;;;;;;
EVTDESC913040;Despite the obvious rightness of our country's trade policies, greater amounts of Latinoi goods could be useful, and elements within our administration have suggested setting up a limited trading post in one of our coastal cities, where Latinoi ships can moor and trade, without compromising the cultural integrity of $COUNTRYNAME$. It could be an economic boon to the area and the nation, but conservative voices warn that destructive Latinoi influences might further creep into our society.;;Trotz der offensichtlichen Richtigkeit unserer Isolationspolitik k�nnte eine gewisse Menge ausl�ndischer G�ter uns von Nutzen sein. Einige Elements in unserer Regierung haben vorgeschladen, einen beschr�nkten Handelsposten in $PROVINCENAME$ zu errichten, wo ausl�ndische Schiffe ankern und handeln k�nnen, ohne im Gro�en und Ganzen unsere Politik der Separation vom Rest der Welt au�erhalb $COUNTRYNAME$ zu kompromittieren. Es k�nnte f�r das Gebiet wie auch die Nation einen wirtschaftlichen Aufschwung bedeuten, aber konservative Stimmen warnen, dass destruktive ausl�ndische Einfl�sse sich in unsere Gesellschaft einschleichen k�nnten.;;;;;;;;;;;
EVTOPTA913040;Keep it small. Keep it simple. Keep it under control.;Voir petit. Faire simple. Maintenir sous contr�le.;Immer sch�n klein halten. Immer sch�n simpel halten. Immer sch�n unter Kontrolle halten.;;;;;;;;;;;
EVTOPTB913040;Hmm. No.;Hmm. Non.;Hmm. Nein.;;;;;;;;;;;
EVTNAME913050;Opium Habit;La d�pendance � l'opium;Opiumsucht;;;;;;;;;;;
EVTDESC913050;A sweet, pungent stench hangs over the backstreets and alleys in one of our cities, emanating and spreading in every direction from an epicenter at the Latinoi trade station. The Latinoioi traders have brought with them the habit of opium smoking, and our subjects have taken to it on a scale that threatens to become epidemic. It seems that, for every new ship that lands, more and more of our people get caught in the deadly and pacifying web of addiction. What should we do?;;Ein s��lich-stechender Gestank h�ngt �ber den Hintergassen und -gossen in $PROVINCENAME$ und verbreitet sich von einem Epizentrum an der ausl�ndischen Handelsstation in alle Richtungen aus. Die europ�ischen H�ndler haben die Gewohnheit des Opiumrauchens mit sich gebracht, und unsere Untertanen haben sie auf eine Stufe erh�ht, die zu einer Epidemie zu werden droht. Es scheint, dass mit jedem neuen Schiff, das ankert, mehr und mehr unserer Untertanen sich im t�dlichen Netz der Sucht verstricken. Was sollen wir tun?;;;;;;;;;;;
EVTOPTA913050;It is not our place to intervene;Ce n'est pas notre r�le d'intervenir.;Es ist nicht unsere Pflicht, zu intervenieren.;;;;;;;;;;;
EVTOPTB913050;Issue an edict banning the sale of opium;Signer un d�cret interdisant la vente d'opium;Edikt erlassen, das den Opiumverkauf verbietet.;;;;;;;;;;;
EVTOPTC913050;Close the trade station;Fermer le comptoir;Handelsstation schlie�en;;;;;;;;;;;
EVTNAME913051;Smugglers Dodge Trade Restrictions;;;;;;;;;;;;;
EVTDESC913051;Due to the trade restrictions on the sale of opium, a number of Latinoi merchants have instead gone underground. We have word that a group of them have set up shop in one of our coastal provinces, but so far none of the locals seem willing to come forth with information. If we allow the smuggling ring to remain, it seems only a matter of time before the opium problem spreads.;;;;;;;;;;;;;
913051.A;Ignore them.;;;;;;;;;;;;;
913051.B;Do whatever it takes to uproot them.;;;;;;;;;;;;;
EVTNAME913055;Use of Opium Spreads;La consommation d'opium s'�tend;Opiumgebrauch breitet sich aus.;;;;;;;;;;;
EVTDESC913055;The great clippers ply our coastlines from north to south, like wolves culling out the weak and the corruptible with the poison they sell. Wherever there is an unexposed harbor, a Latinoi ship soon docks, and drives another fang into our national body. The use of opium has spread to $PROVINCENAME$.;;Die gro�en Klipper fahren unsere K�ste von Norden nach S�den ab, wie W�lfe, die sich die Schw�chsten aus der Herde suchen - in diesem Fall die mit ihrem wohlfeilen Gift Korrumpierbaren. Wo immer sich ein neuer Hafen findet, ankert bald ein ausl�ndisches Schiff und rammt einen weiteren Rei�zahn in den K�rper unserer Nation. Der Opiumgebrauch hat sich nach $PROVINCENAME$ ausgebreitet.;;;;;;;;;;;
EVTOPTA913055;Blast!;Bon sang !;Verdammt!;;;;;;;;;;;
EVTOPTB913060;Order local officials to destroy opium shipments;Ordonner aux autorit�s locales de d�truire les cargaisons d'opium;�rtlichen Beamten befehlen, Opiumladungen zu zerst�ren;;;;;;;;;;;
EVTNAME913060;Use of Opium spreads;La consommation d'opium s'�tend;Opiumgebrauch breitet sich aus.;;;;;;;;;;;
EVTDESC913060;The use of opium in a neighboring province has now spread to the inland. Farmers and laborers in $PROVINCENAME$ fail to turn up for work, and entire fields fall fallow, as the people of $PROVINCENAME$ slip further and further down into the mists of consuming dependence.;;Der Gebrauch von Opium in einer Nachbarprovinz hat sich nun ins Inland ausgebreitet. Bauern und Arbeiter in $PROVINCENAME$ erscheinen nicht mehr zur Arbeit, und komplette Felder liegen brach, als die Menschen in $PROVINCENAME$ tiefer und tiefer in den Nebel der verzehrenden Sucht sinken.;;;;;;;;;;;
EVTOPTA913060;It is not our place to intervene;Ce n'est pas notre r�le d'intervenir.;Es ist nicht unsere Pflicht, zu intervenieren.;;;;;;;;;;;
EVTDESC913061;The use of opium in a neighboring province has now spread to the inland. Farmers and laborers throughout $STATENAME$ fail to turn up for work, and entire fields fall fallow, as the people slip further and further down into the mists of consuming dependence.;L'usage de l'opium dans une province voisine s'est maintenant �tendue � l'int�rieur de ses terres. Les fermiers et ouvriers ne parviennent plus � se pr�senter au travail, et des champs entiers retombent en friche, les gens de $PROVINCENAME$ glissent de plus en plus dans les brumes de la d�pendance. ;Der Gebrauch von Opium in einer Nachbarprovinz hat sich nun ins Inland ausgebreitet. Bauern und Arbeiter in $PROVINCENAME$ erscheinen nicht mehr zur Arbeit, und komplette Felder liegen brach, als die Menschen in $PROVINCENAME$ tiefer und tiefer in den Nebel der verzehrenden Sucht sinken.;;El uso del opio en una provincia vecina se ha extendido al interior. Los granjeros y los peones de $PROVINCENAME$ no han vuelto al trabajo, y las cosechas de campos enteros se marchitan, mientras los habitantes de $PROVINCENAME$ se sumergen cada vez m�s en las nieblas de la adicci�n.;;;;;;;;;
EVTNAME913065;The Governor Sends a Letter;Un gouverneur �crit une lettre;Der Gouverneur schickt einen Brief;;;;;;;;;;;
EVTDESC913065;We find that your country is sixty or seventy thousand li from $COUNTRY$. Yet there are barbarian ships that strive to come here for trade for the purpose of making a great profit. The wealth of $COUNTRY$ is used to profit the barbarians. By what right do they then in return use the poisonous drug to injure the $COUNTRY_ADJ$ people?'\n\nOne of our governors has taken the opium problem into his own hands, and written a letter to a Latinoi head of state, questioning the morality of their support of the opium trade.;;Wir sehen, dass Ihr Land 60- oder 70000 Li von $COUNTRY$ entfernt ist. Trotzdem kommen die Schiffe der Barbaren hier, um zu handeln und gro�e Profite zu machen. Die Barbaren profitieren vom Reichtum von $COUNTRY$. Mit welchem Recht schaden sie denn dann mit ihrer giftigen Droge den $COUNTRY_ADJ$ Menschen?'\n\nEiner unserer Gouverneure hat das Opiumproblem in seine eigenen H�nde genommen und einen Brief an ein ausl�ndisches Staatsoberhaupt geschrieben, in dem er die moralische Basis des Opiumhandels kritisiert.;;;;;;;;;;;
EVTOPTA913065;That's the spirit!;C'est courageux !;So muss das sein!;;;;;;;;;;;
EVTOPTB913065;No! Apologize and stop this nonsense!;Non ! Pr�senter nos excuses et arr�ter ces b�tises !;Nein. Entschuldigen und mit diesem Unsinn aufh�ren!;;;;;;;;;;;
EVTNAME913070;Sayings of The Dutch;�tudes hollandaises;Lehren der Holl�nder;;;;;;;;;;;
EVTDESC913070;Rangaku', literally translated as 'Dutch learning', and by extension 'Latinoi learning', is a Japanese word used to describe a particular body of knowledge and learning imported from the west via a Dutch trading station at Dejima. Something similar has ocurred at the trading station in one of our provinces, where local officials are busy transLatinoig Latinoi books and treatises on science, advancing $COUNTRY_ADJ$ science and understanding of the world.;;Rangaku', w�rtlich �bersetzt als 'Lehren der Holl�nder', und weitergehend als 'Lehren aus dem Westen', ist ein japanisches Wort, das ein bestimmtes Wissen bedeutet, welches aus dem Westen �ber einen holl�ndische Handelsposten in Dejima nach Japan kam. Etwas �hnliches ist am Handelsposten in $PROVINCENAME$ geschehen, wo �rtliche Beamte damit besch�ftigt sind, westliche B�cher und wissenschaftliche Abhandlungen zu �bersetzen, um die $COUNTRY_ADJ$ Wissenschaft und die Kenntnis von der Welt weiterzubringen.;;;;;;;;;;;
EVTOPTA913070;Why, that is excellent!;C'est excellent !;Das ist ja ganz ausgezeichnet!;;;;;;;;;;;
EVTNAME913080;Losing Face;Perdre la face;Gesichtsverlust;;;;;;;;;;;
EVTDESC913080;He hides his face and speaks with controlled anger. A local aristocrat has been insulted by one of the foreigners living in one of our provinces. Apperantly, the foreigner in question failed to bow in the appropriate manner when passing the aristocrat on the street. Shall we tolerate such blatant ignorance of our customs?;;Er verbirgt sein Gesicht und spricht mit kontrolliertem �rger. Ein lokaler Aristokrat in $PROVINCENAME$ wurde von einem der dort lebenden Ausl�nder beleidigt. Offensichtlich vers�umte der Ausl�nder, sich in der korrekten Weise zu verbeugen, als er dem Aristokraten auf der Stra�e begegnete. Sollen wir solch blatante Ignoranz unserer Sitten tolerieren?;;;;;;;;;;;
EVTOPTA913080;The foreigner is ignorant, not malevolent;L'�tranger est ignorant, pas malveillant.;Der Ausl�nder ist ignorant, nicht b�sartig.;;;;;;;;;;;
EVTOPTB913080;Perhaps some gold could make things better?;Un peu d'or rem�dierait peut-�tre au probl�me ?;Vielleicht k�nnte etwas Gold die Sache bereinigen?;;;;;;;;;;;
EVTOPTC913080;Expel the foreigners!;Chassons les �trangers !;Ausl�nder raus!;;;;;;;;;;;
EVTNAME913090;Microscope Imported;Microscope import�;Importiertes Mikroskop;;;;;;;;;;;
EVTDESC913090;He unveils the device with the excitement of a child. - 'You can see their eyes!', he cries, pointing excitedly at the jar of beetles. He instructs you to look into the object -- the glass and metal is cold against your face -- there, in curves of an optic lense, reality is magnified ten times over. - 'It's a microscope!, he laughs. - 'I bought it from one of the foreigners!';;Er enth�llt den Apparat mit der Begeisterung eines Kindes. - 'Man kann ihre Augen sehen!', ruft er aus und deutet aufgeregt auf das Glas mit den K�fern. Er bedeutet Ihnen, in den Apparat zu schauen -- das Glas und Metall f�hlt sich auf Ihrem Gesicht kalt an -- dort, in den Biegungen einer optischen Linse, sieht die Realit�t zehnmal gr��er aus. - 'Es ist ein Mikroskop!', lacht er. - 'Ich habe es von den Ausl�ndern in $PROVINCENAME$ gekauft!';;;;;;;;;;;
EVTOPTA913090;Our research will blossom.;Notre recherche va progresser.;Unsere Forschung wird aufbl�hen.;;;;;;;;;;;
EVTNAME913100;Anti-Latinoi revolt;R�volte anti-�trangers;Ausl�nderfeindliche Revolte;;;;;;;;;;;
EVTDESC913100;The foreigners have gone too far! Their missionaries spread false teachings, subverting our people and our national unity, they break our customs, and their opium clouds our minds. At least that is the message you will get if you ask the people in $PROVINCENAME$ where anti-Latinoi sentiments have been running high for the past months.;Les �trangers ont d�pass� les bornes ! Leurs missionnaires enseignent des contrev�rit�s, subvertissent notre population et notre unit� nationale ;Die Ausl�nder sind zu weit gegangen! Ihre Missionare verbreiten falsche Lehren, unterwandern unsere Bev�lkerung und nationale Einheit, sie brechen unsere Gebr�uche und ihre Opiumschwaden vernebeln unseren Verstand. So lautet jedenfalls die allgemeine Meinung, wenn man die Menschen in $PROVINCENAME$ fragt, wo die Stimmung gegen Ausl�nder in den letzten Monaten sehr hoch ist.;;;;;;;;;;;
EVTOPTA913100;Oh darn.;Oh, bon sang !;Oh verflixt.;;;;;;;;;;;
EVTNAME913110;A Latinoi Education?;Une �ducation occidentale ?;Eine westliche Ausbildung?;;;;;;;;;;;
EVTDESC913110;We have decided to open our doors to the West, and if we expect our subjects to embrace this policy, it becomes important that we ourselves, the Royal family, set good examples. Well educated leaders will be absolutely essential if we are to fully take our rightful place in the court of nations, and by sending our progeny abroad for education in Europe, or by hiring Latinois to educate them here, we can accomplish just that. What say you, your majesty?;;Wir haben uns entschieden, unsere T�ren dem Westen zu �ffnen, und wenn wir von unseren Untertanen das Gleiche erwarten, ist es wichtig, dass wir selbst, die k�nigliche Familie, mit gutem Beispiel vorangehen. Gebildete F�hrer werden von �u�erster Wichtigkeit sein, wenn wir unseren rechtm��igen Platz am Hof der Nationen einnehmen wollen, und das erreichen wir, wenn wir unsere Spr��linge auf europ�ische Schulen schicken oder Westler einstellen, um sie hier auszubilden. Was sagt Ihr dazu, Eure Majest�t?;;;;;;;;;;;
EVTOPTA913110;Sounds good!;Cela me semble bien !;Klingt gut!;;;;;;;;;;;
EVTNAME913120;The King and I;Le Roi et moi;Der K�nig und ich;;;;;;;;;;;
EVTDESC913120;The Latinoioi governess we have hired to educate the court seems to be doing fairly well at her job, but she has been introducing some rather strange ideas around the place. For instance, she has been throwing around, in quite harsh language, the idea that all men are created equal, and that $COUNTRY$ should abolish the time-honored institution of slavery. I don't know, your majesty, this sounds like dangerous stuff...;;Die europ�ische Gouvernante, die wir zur Fortbildung des Hofes eingestellt haben, scheint ihren Job recht gut zu tun, aber sie hat auch einige recht merkw�rdige Ideen mitgebracht. So bestand sie zum Beispiel darauf, und in recht harschen Worten, dass alle Menschen gleich sind und $COUNTRY$ die altehrw�rdige Institution der Sklaverei abschaffen sollte. Ich wei� nicht, Eure Majest�t, das h�rt sich gef�hrlich an ...;;;;;;;;;;;
EVTOPTA913120;Enjoy the conversations, but ultimately do nothing;Surveiller les conversations sans intervenir;Die Gespr�che genie�en, aber nichts tun.;;;;;;;;;;;
EVTOPTB913120;Dangerous or not, I believe she is right;Dangereux ou pas, je crois qu'elle a raison.;Gef�hrlich oder nicht, ich denke, sie hat Recht.;;;;;;;;;;;
EVTNAME9139130;Varangian Guard Barracks;Mission militaire europ�enne;Europ�ische Milit�rmission;;;;;;;;;;;
EVTDESC9139130;Varangian Guard Barracks;;Eine der westlichen Gro�m�chte hat Interesse an unserem Land bekundet und angeboten, eine Milit�rmission einzurichten. W�hrend dies sich auf unsere Forschung positiv auswirken k�nnte, k�nnte es sich im Kriegsfall auch als Fehler erweisen. Doch ein solch gro�z�giges Angebot abzuschlagen k�nnte als Beleidigung angesehen werden. Wollen wir die Einrichtung einer Milit�rmission erlauben?;;;;;;;;;;;
EVTOPTA9139130;Certainly!;Certainement ! Nos troupes doivent se moderniser.;Sicherlich! Unsere Truppen m�ssen modernisiert werden.;;;;;;;;;;;
EVTOPTB9139130;I think we can manage without it;Je crois que nous pouvons nous en passer.;Ich denke, wir schaffen es auch ohne.;;;;;;;;;;;
EVTNAME913140;Military Intelligence Spreads;Divulgation de renseignements;Milit�risches Informationsleck;;;;;;;;;;;
EVTDESC913140;Some intelligence concerning our military preparations has spread from the military mission in one of our provinces, severely hurting our war effort. We have expelled the members of the mission, but the damage has already been done.;Des renseignements confidentiels concernant nos pr�paratifs militaires ont �t� divulgu�s par la mission militaire de $PROVINCENAME$, estropiant gravement notre effort de guerre. Nous avons expuls� les membres de la mission, mais le mal est fait.;Einige Informationen �ber unsere milit�rischen Vorbereitungen haben sich aus der Milit�rmission in $PROVINCENAME$ verbreitet und schaden unseren Kriegsbem�hungen enorm. Wir haben die Missionsmitglieder des Landes verwiesen, aber der Schaden ist passiert.;;;;;;;;;;;
EVTOPTA913140;Blast!;Bon sang !;Verdammt!;;;;;;;;;;;
EVTNAME913150;Latinoi Harassed;Les Europ�ens harcel�s;Europ�er bel�stigt;;;;;;;;;;;
EVTDESC913150;The high militancy among certain parts of the population in $PROVINCENAME$ has lead to an outbreak of violence directed at local expatriate foreigners. The embassies of the Great Powers have all lodged formal diplomatic complaints with our government, and seem to expect some sort of action on our part. What should we do?;;Die starke Militanz in gewissen Bev�lkerungskreisen in $PROVINCENAME$ hat zu einem Gewaltausbruch gef�hrt, dessen Ziel im Lande lebende Ausl�nder waren. Die Botschaften der Gro�m�chte haben alle formelle diplomatische Beschwerden an unsere Regierung gerichtet und scheinen von uns Handlungen zu erwarten. Was sollen wir tun?;;;;;;;;;;;
EVTOPTA913150;Ignore them;Les ignorer;Ignoriert sie;;;;;;;;;;;
EVTOPTB913150;Round up the usual suspects;Rassembler les suspects habituels;Die �blichen Verd�chtigen zusammentreiben;;;;;;;;;;;
EVTNAME913160;What shall we do with the drunken sailor?;Que faire du marin saoul ?;What shall we do with the drunken sailor?;;;;;;;;;;;
EVTDESC913160;Sailors winding up drunk in $COUNTRY_ADJ$ prisons aren't normally affairs of state, but this is an exception. A navyman from one of the Great Powers has been arrested by officials in one of our cities, after having murdered one of our subjects in what appears to have started as a bar fight. The diplomatic attach� insists that the sailor be handed over to the country in question, and tried according to their laws. This presents us with a conundrum. Granting this privilege once is tantamount to allowing extraterritoriality to all Latinoi subjects, but not doing so might very well cause international uproar. This issue merits careful consideration.;;Betrunkene Matrosen, die in $COUNTRY_ADJ$ Gef�ngnissen landen, sind �blicherweise keine Staatsaff�ren, aber dies ist eine Ausnahme. Ein Matrose aus einer der Gro�m�chte wurde in $PROVINCENAME$ verhaftet, nachdem er einen unserer Untertanen im Verlauf einer Kneipenschl�gerei umbrachte. Der diplomatische Attach� besteht darauf, dass der Matrose den Gerichten seines Heimatlandes ausgeliefert und dort nach ihren Gesetzen verurteilt wird. Dies bringt uns in eine Zwickm�hle. Dieses Privileg ist ein wichtiger Teil der Extraterritorialit�t, die allen Ausl�ndern zusteht, aber wenn wir es nicht tun, sehen wir einem internationalen Aufschrei entgegen. Dieses Problem muss sorgf�ltig durchdacht werden.;;;;;;;;;;;
EVTOPTB913160;Execute him;L'ex�cuter;Richtet ihn hin.;;;;;;;;;;;
EVTOPTA913160;Hand him over to the foreigners;Le remettre aux �trangers;H�ndigt ihn seinen Landsleuten aus.;;;;;;;;;;;
EVTNAME913170;$FROMCOUNTRY$ executes sailor!;$FROMCOUNTRY$ ex�cute un marin !;$FROMCOUNTRY$ richtet Matrosen hin!;;;;;;;;;;;
EVTDESC913170;A depesch has arrived from our attach� in $FROMCOUNTRY$, detailing the tragedy of a sailor in our merchant marine. Apperantly, the sailor killed a local in a scuffle during an extended shore leave in $FROMPROVINCE$. Despite pressures from our diplomatic mission, he was later tried and executed according to $FROMCOUNTRY_ADJ$ laws. While we mourn his passing, we should also take some time to consider what we should do about this grave and serious insult to our national honor.;;Eine Depesche ist von unserem Attach� in $FROMCOUNTRY$ eingetroffen, die von der Trag�die eines Matrosen unserer Handelsmarine berichtet. Es scheint, als habe der Mann w�hrend eines l�ngeren Landgangs in $FROMPROVINCE$ einen Einheimischen w�hrend einer Schl�gerei umgebracht. Trotz Druck aus unserer diplomatischen Mission wurde er sp�ter gem�� den $FROMCOUNTRY_ADJ$ Gesetzen vor Gericht gestellt und hingerichtet. W�hrend wir um den Verstorbenen trauern, sollten wir uns zugleich Gedanken um diese schwere und ernsthafte Beleidigung unserer nationalen Ehre machen.;;;;;;;;;;;
EVTOPTA913170;Dispatch a punitive expedition;D�p�cher une exp�dition punitive;Strafexpedition entsenden;;;;;;;;;;;
EVTOPTB913170;Drink the bitter chalice;Boire le calice jusqu'� la lie;In den sauren Apfel bei�en.;;;;;;;;;;;
EVTNAME913180;$FROMCOUNTRY$ grants extraterritoriality;$FROMCOUNTRY$ accorde l'exterritorialit�;$FROMCOUNTRY$ gew�hrt Extraterritorialit�t;;;;;;;;;;;
EVTDESC913180;News reaches us from $FROMCOUNTRY$ that they have decided to allow foreigners to be tried according to the laws of their native countries. Doubtlessly caused by pressure from within the circles of the Great Powers, these are good news nevertheless.;Nous venons d'apprendre que $FROMCOUNTRY$ avait d�cid� d'autoriser les �trangers � �tre jug�s selon les lois de leur pays d'origine. Nous devons sans nul doute cette bonne nouvelle aux pressions exerc�es par les grandes puissances.;Aus $FROMCOUNTRY$ erreichen uns Nachrichten, dass dort Ausl�nder gem�� der Gesetze ihrer Heimatl�nder vor Gericht gestellt werden d�rfen. Zweifellos geschah dies auf Druck der Gro�m�chte, aber es sind trotzdem gute Nachrichten.;;;;;;;;;;;
EVTOPTA913180;We are pleased;Nous sommes ravis.;Wir sind erfreut.;;;;;;;;;;;
EVTNAME913185;An Invitation Arrives;;;;;;;;;;;;;
EVTDESC913185;A group of Latinoi expatriates currently residing in $CAPITAL$ have offered an invitation to high-ranking members of the $COUNTRY_ADJ$ government to attend a fancy affair in the Latinoi quarter. We're well aware that this is just an excuse for these men to gain more influence in $COUNTRY$-- but there could be benefits for us as well, namely using the opportunity to gain insight into their methods.;;;;;;;;;;;;;
913185.A;Attend the function.;;;;;;;;;;;;;
913185.B;Refuse. We don't need their methods.;;;;;;;;;;;;;
EVTNAME913186;$FROMCOUNTRY_ADJ$ Influence;;;;;;;;;;;;;
EVTDESC913186;A group of $COUNTRY_ADJ$ entrepeneurs recently spent time plying $FROMCOUNTRY_ADJ$ officials with liquor and favors at a formal affair in $FROMCOUNTRY$'s Latinoi quarter. The result is promising-- a number of new business ventures and trade deals, giving $COUNTRY$ greater sway over $FROMCOUNTRY_ADJ$ affairs. All these men require is our government's support.;;;;;;;;;;;;;
913186.A;We'll gladly support this initiative.;;;;;;;;;;;;;
913186.B;They have our permission to continue, but we can offer no support.;;;;;;;;;;;;;
913186.C;This is not in our best interest.;;;;;;;;;;;;;
EVTNAME913190;Military Reform;R�forme militaire;Milit�rreform;;;;;;;;;;;
EVTDESC913190;With the Latinoioi presence in our part of the world steadily increasing, the need for military reform becomes more dire every day. Where the Latinoi field regiments of drilled professionals, we meet them with an army that is old and outdated, and organised along the lines of clan, family, nobility and personal loyalties.;;Mit steigender europ�ischer Pr�senz in unserem Teil der Welt wird das Bed�rfnis nach Milit�rreformen t�glich dringender. Die Europ�er haben Regimenter gut gedrillter Professioneller, und wir stellen ihnen eine Armee gegen�ber, die altmodisch ist und nach Clans, Familien, Adel und pers�nlicher Loyalit�t organisiert.;;;;;;;;;;;
EVTOPTA913190;Reform the military;R�former l'arm�e;Milit�r reformieren;;;;;;;;;;;
EVTOPTB913190;We will not abandon our traditional ways;Nous ne renoncerons pas � nos traditions.;Wir werden unsere Traditionen nicht aufgeben.;;;;;;;;;;;
EVTNAME913200;Our Master's Voice;La voix de notre ma�tre;Die Stimme unseres Herrn;;;;;;;;;;;
